flag	content
comentarioparaorganizacaoum DAQUI PRA BAIXO SOMENTE DESCRIÇÕES
mcontrolsdesc   Configure o estilo de controle mobile
botplaydesc Deixe o Bot jogar por você e apenas aproveite a história.
lowenddesc  Opções de otimização extras
ratingvisiveldesc   Deixa as notificações de "Sick", "Good", etc... Vísiveis na tela, (Pode gerar instabilidade no FPS)
gfvisiveldesc   Remove a Girlfriend da música, consumindo pouca ram.<N>(Se seu celular estiver travando muito<N>ou com pouca bateria, desative isso.)
gputexturesdesc Caso ligado, o jogo passará a usar GPU para aguentar mais peso quando precisar, mas você precisará reiniciar o jogo depois
presetsdesc Escolha entre os presets de configurações recomendadas, a que mais se encaixa ao seu celular.
unlockalldesc   Desbloqueia tudo no mod com exceção de algumas skins
resetstorydesc  Apagar todo o seu progresso na história do jogo
